Variable name,EnergyEfficiency,ExergyEfficiency,EfficiencyDefect,IrreversibilityShare
BPsplit,,,0.0,0.0
BPmerge,,,-2.267748614161103e-18,-1.34743049077421e-18
BPvalve,,,nan,0.0
CAC_HT,,0.9871023520098878,0.0002918389083025171,0.00011085856262012463
CAC_LT,,0.7424367157143426,0.010521605028718269,0.0018652837464017543
LOC,,0.7077928126036394,0.06311954300348604,0.016916468884924016
JWC,,0.674975563499147,0.05282195719411073,0.019373475293207897
Cyl,0.37928169666585204,0.3784139700406599,0.33761313943063376,0.8179879367090421
HTsplit,,,-0.0017802954219027162,0.0003830961618721915
HTmerge,,,0.011859560562045892,0.003973420654556868
TCshaft,0.6159450906239253,0.6159450906239253,0.16216215554903032,0.02546016242489903
HRSG,,0.6572423578691625,0.14700138421949108,0.04571499239553801
AG,0.9387398911861625,0.9387398911861625,0.04614699707002677,0.03834022214884805

AE2
Comp,0.9977063195257806,0.8230857839029345,0.17680839021134295,0.023693715809368472
Turbine,0.9796735531059,0.8699122450491237,0.052361636410453,0.031020456585900698
BPsplit,,,0.0,0.0
BPmerge,,,-1.0256301299083552e-18,-7.086588435595565e-19
BPvalve,,,nan,0.0
CAC_HT,,0.9585054786706579,0.000623228170786588,0.000259397852144551
CAC_LT,,0.7070394557196987,0.014653530937742092,0.0027860904833242046
LOC,,0.7052959506188796,0.05251410102426615,0.012546368020335803
JWC,,0.6461560847204476,0.04970417098828063,0.01718940495730135
Cyl,0.3801603609174943,0.37613779272656234,0.33450629491036643,0.8274804916568095
HTsplit,,,-0.0025381527507974235,0.00040017548340705533
HTmerge,,,0.009194046826482312,0.003120586742391792
TCshaft,0.8033930314185007,0.8033930314185007,-0.023168445657480895,-0.005773449002988995
HRSG,,0.6370794904349983,0.13902177862234075,0.04836636433217924
AG,0.939128847737588,0.939128847737588,0.045985271414559103,0.038910397079826256

AE3
Comp,0.9981836296008203,0.7637930073975016,0.23599682204427164,0.026077181721993557
Turbine,0.9742997153594858,1.0133950126941704,-0.01910147385265213,0.008951341279511464
BPsplit,,,0.0,0.0
BPmerge,,,-6.009150675784182e-19,-8.880348319738499e-20
BPvalve,,,nan,0.0
CAC_HT,,0.9834389586006631,0.00064771543907487,0.00025358979445546347
CAC_LT,,0.6388571125091747,0.016793914339285832,0.003032334389029559
LOC,,0.7090566203455404,0.07086517306327478,0.01614087788359793
JWC,,0.6686717379074707,0.06886078391813606,0.021724860127578294
Cyl,0.39324569865109976,0.39015552945454,0.33545256000479057,0.8173911935505697
HTsplit,,,-0.0014502517585035367,0.00012521406890065407
HTmerge,,,0.01637009256138217,0.003868593227400873
TCshaft,0.6679908946921955,0.6679908946921955,0.11360214612537496,0.020882625641770233
HRSG,,0.6601888129403907,0.14950189425950616,0.04655055444918347
AG,0.9457135577327842,0.9457135577327842,0.04111011477194118,0.03500163386601029

AE4
Comp,0.9969342979078284,0.7692913795028391,0.23051961939153875,0.021243915505722088
Turbine,0.9807380362960927,1.0156244998633985,-0.005844336258902276,0.004440754553705407
BPsplit,,,0.0,0.0
BPmerge,,,-1.4894599662845839e-18,-7.200810043775306e-19
BPvalve,,,nan,0.0
CAC_HT,,1.007134499342651,0.00018684311282891327,6.774134677577644e-05
CAC_LT,,0.7420841817297877,0.010198612017516116,0.001666986330510213
LOC,,0.6576042874147512,0.07815654342246242,0.02212107523365683
JWC,,0.6748268593879565,0.05272184355414327,0.020330948842584937
Cyl,0.3798490710955496,0.37929927730329205,0.3453453089746012,0.8251921152199702
HTsplit,,,-0.00040155776493066187,0.0006091594081525508
HTmerge,,,0.011635419636514299,0.0036518892875990806
TCshaft,0.6412317957568173,0.6412317957568173,0.13773141084516258,0.021447570781531537
HRSG,,0.6609900626829571,0.14073246953686222,0.040411630527092575
AG,0.936889852865056,0.936889852865056,0.04761429854618088,0.038816212962698896

CoolingSystems
SWC13,,nan,nan,nan
SWC24,,nan,nan,nan
HTcollector13,,,0.00038265997474495563,nan
HTcollector24,,,0.0004830174162812056,nan
LTcollector13,,,-0.340829413311131,nan
LTcollector24,,,-0.279009800386198,nan
LTdistribution13,,,-0.007089263954060059,nan
LTdistribution24,,,-0.00917063440201845,nan
LTHTmerge13,,,0.22907084221616913,nan
LTHTmerge24,,,0.10987924645041235,nan
HTsplit13,,,0.0,nan
HTsplit24,,,0.0,nan

HTHR
HTHR13,,0.9409404960685042,0.005996610501069968,0.030070280370984137
HTHR24,,0.9137577060663956,0.010578314555276955,0.08476242400540059
HTHRsplit,,,-1.883488495311558e-17,-6.578383385422483e-17
HTHRmerge,,,-1.941367550192317e-18,-3.234345808108939e-18
HVACpreheater,,0.4701494352183243,0.20991673530812782,0.3586599663560822
HVACreheater,,0.8638213922488458,0.06215888233128747,0.020677416018095123
SteamHeater,,-inf,0.08722232579230857,0.3750360461521631
HotWaterHeater,,0.8849959529281294,0.047489056915356626,0.13079386709727533

Steam
Boiler1,nan,nan,nan,nan
Boiler2,nan,nan,nan,nan
SteamCollector,,,0.17419978220341045,nan
SteamDistribution,,,-inf,nan
TankHeating,,0.44646972137834157,0.4723722130322305,nan
OtherTanks,,0.44646972137834157,0.4723722130322306,nan
HFOtankHeating,,0.5524060871966691,0.3819681330841456,nan
MachinerySpaceHeaters,,0.2819890861726976,0.6105202626364072,nan
HFOheater,,0.6632994299317505,0.2873339584101435,nan
Galley,,0.6494468177291908,0.29916911969128546,nan
